time,longitude,latitude,pm25_rh35_gcc
2022-11-01 00:30:00,36.5,-1.5,5.1044674
2022-11-01 00:30:00,36.5,-1.25,22.229467
2022-11-01 00:30:00,36.5,-1.0,12.995092
2022-11-01 00:30:00,36.75,-1.5,4.6044674
2022-11-01 00:30:00,36.75,-1.25,21.010717
2022-11-01 00:30:00,36.75,-1.0,15.995092
2022-11-01 00:30:00,37.0,-1.5,4.1044674
2022-11-01 00:30:00,37.0,-1.25,9.026342
2022-11-01 00:30:00,37.0,-1.0,12.120092
2022-11-01 00:30:00,37.25,-1.5,4.1982174
2022-11-01 00:30:00,37.25,-1.25,4.006811
2022-11-01 00:30:00,37.25,-1.0,3.9599364
2022-11-01 01:30:00,36.5,-1.5,4.882807
2022-11-01 01:30:00,36.5,-1.25,20.789057
2022-11-01 01:30:00,36.5,-1.0,14.632807
2022-11-01 01:30:00,36.75,-1.5,5.242182
2022-11-01 01:30:00,36.75,-1.25,23.851557
2022-11-01 01:30:00,36.75,-1.0,16.007807
2022-11-01 01:30:00,37.0,-1.5,4.3906193
2022-11-01 01:30:00,37.0,-1.25,9.335932
2022-11-01 01:30:00,37.0,-1.0,11.789057
2022-11-01 01:30:00,37.25,-1.5,4.648432
2022-11-01 01:30:00,37.25,-1.25,4.164057
2022-11-01 01:30:00,37.25,-1.0,3.6289005
2022-11-01 02:30:00,36.5,-1.5,5.4822216
2022-11-01 02:30:00,36.5,-1.25,22.72441
2022-11-01 02:30:00,36.5,-1.0,16.09941
2022-11-01 02:30:00,36.75,-1.5,6.302534
2022-11-01 02:30:00,36.75,-1.25,27.53691
2022-11-01 02:30:00,36.75,-1.0,15.943159
2022-11-01 02:30:00,37.0,-1.5,4.8259716
2022-11-01 02:30:00,37.0,-1.25,9.708784
2022-11-01 02:30:00,37.0,-1.0,12.021284
2022-11-01 02:30:00,37.25,-1.5,5.1228466
2022-11-01 02:30:00,37.25,-1.25,4.4197216
2022-11-01 02:30:00,37.25,-1.0,3.6072218
2022-11-01 03:30:00,36.5,-1.5,5.9559736
2022-11-01 03:30:00,36.5,-1.25,25.4091
2022-11-01 03:30:00,36.5,-1.0,17.50285
2022-11-01 03:30:00,36.75,-1.5,6.463786
2022-11-01 03:30:00,36.75,-1.25,28.25285
2022-11-01 03:30:00,36.75,-1.0,17.81535
2022-11-01 03:30:00,37.0,-1.5,5.198161
2022-11-01 03:30:00,37.0,-1.25,10.080974
2022-11-01 03:30:00,37.0,-1.0,13.487224
2022-11-01 03:30:00,37.25,-1.5,5.4247236
2022-11-01 03:30:00,37.25,-1.25,4.6590986
2022-11-01 03:30:00,37.25,-1.0,3.8778486
2022-11-01 04:30:00,36.5,-1.5,4.6340113
2022-11-01 04:30:00,36.5,-1.25,19.344948
2022-11-01 04:30:00,36.5,-1.0,15.251199
2022-11-01 04:30:00,36.75,-1.5,4.6340113
2022-11-01 04:30:00,36.75,-1.25,19.469948
2022-11-01 04:30:00,36.75,-1.0,18.626198
2022-11-01 04:30:00,37.0,-1.5,4.079324
2022-11-01 04:30:00,37.0,-1.25,6.6340113
2022-11-01 04:30:00,37.0,-1.0,9.344949
2022-11-01 04:30:00,37.25,-1.5,4.110574
2022-11-01 04:30:00,37.25,-1.25,3.6808863
2022-11-01 04:30:00,37.25,-1.0,3.2433863
2022-11-01 05:30:00,36.5,-1.5,2.6353035
2022-11-01 05:30:00,36.5,-1.25,8.6196785
2022-11-01 05:30:00,36.5,-1.0,7.893116
2022-11-01 05:30:00,36.75,-1.5,2.7095222
2022-11-01 05:30:00,36.75,-1.25,9.2603035
2022-11-01 05:30:00,36.75,-1.0,9.7759285
2022-11-01 05:30:00,37.0,-1.5,2.6509285
2022-11-01 05:30:00,37.0,-1.25,3.8696785
2022-11-01 05:30:00,37.0,-1.0,3.924366
2022-11-01 05:30:00,37.25,-1.5,2.955616
2022-11-01 05:30:00,37.25,-1.25,2.674366
2022-11-01 05:30:00,37.25,-1.0,2.5103035
2022-11-01 06:30:00,36.5,-1.5,1.8898389
2022-11-01 06:30:00,36.5,-1.25,5.8351517
2022-11-01 06:30:00,36.5,-1.0,5.311714
2022-11-01 06:30:00,36.75,-1.5,2.1593702
2022-11-01 06:30:00,36.75,-1.25,6.686714
2022-11-01 06:30:00,36.75,-1.0,4.639839
2022-11-01 06:30:00,37.0,-1.5,2.0851514
2022-11-01 06:30:00,37.0,-1.25,2.936714
2022-11-01 06:30:00,37.0,-1.0,2.5109327
2022-11-01 06:30:00,37.25,-1.5,2.4249952
2022-11-01 06:30:00,37.25,-1.25,2.1749952
2022-11-01 06:30:00,37.25,-1.0,1.9484327
2022-11-01 07:30:00,36.5,-1.5,1.6867715
2022-11-01 07:30:00,36.5,-1.25,5.257084
2022-11-01 07:30:00,36.5,-1.0,4.382084
2022-11-01 07:30:00,36.75,-1.5,2.0422404
2022-11-01 07:30:00,36.75,-1.25,5.9836464
2022-11-01 07:30:00,36.75,-1.0,3.5227091
